DATE,PRICE,Open,High,Low,Change %
"May 10, 2020",0.6439,0.6531,0.6561,0.6404,-1.40%
"May 03, 2020",0.653,0.6421,0.6549,0.6371,1.73%
"Apr 26, 2020",0.6419,0.6387,0.6571,0.6378,0.50%
"Apr 19, 2020",0.6387,0.6357,0.6407,0.6252,0.35%
"Apr 12, 2020",0.6365,0.6346,0.6446,0.6264,0.22%
"Apr 05, 2020",0.6351,0.6011,0.637,0.599,5.92%
"Mar 29, 2020",0.5996,0.6148,0.6215,0.5979,-2.76%
"Mar 22, 2020",0.6166,0.5799,0.6201,0.5701,6.33%
"Mar 15, 2020",0.5799,0.6136,0.6312,0.5507,-6.23%
"Mar 08, 2020",0.6184,0.6615,0.6687,0.6122,-7.04%
"Mar 01, 2020",0.6652,0.6488,0.6658,0.6457,2.18%
"Feb 23, 2020",0.651,0.6629,0.6629,0.6433,-1.78%
"Feb 16, 2020",0.6628,0.6712,0.6734,0.6584,-1.30%
"Feb 09, 2020",0.6715,0.6679,0.6752,0.6658,0.63%
"Feb 02, 2020",0.6673,0.6691,0.6774,0.666,-0.28%
"Jan 26, 2020",0.6692,0.6817,0.6829,0.6681,-2.01%
"Jan 19, 2020",0.6829,0.6873,0.6889,0.6815,-0.64%
"Jan 12, 2020",0.6873,0.6897,0.6934,0.6869,-0.43%
"Jan 05, 2020",0.6903,0.6951,0.6959,0.6848,-0.70%
"Dec 29, 2019",0.6952,0.6978,0.7032,0.6928,-0.37%
"Dec 22, 2019",0.6978,0.6896,0.6988,0.6887,1.15%
"Dec 15, 2019",0.6899,0.6889,0.6908,0.6836,0.33%
"Dec 08, 2019",0.6876,0.6826,0.6939,0.6798,0.54%
"Dec 01, 2019",0.6839,0.6757,0.6863,0.6755,1.09%
"Nov 24, 2019",0.6765,0.6786,0.68,0.6752,-0.31%
"Nov 17, 2019",0.6786,0.6803,0.6835,0.6778,-0.50%
"Nov 10, 2019",0.682,0.687,0.687,0.6768,-0.60%
"Nov 03, 2019",0.6861,0.6908,0.693,0.6847,-0.77%
"Oct 27, 2019",0.6914,0.6818,0.693,0.6809,1.33%
"Oct 20, 2019",0.6823,0.6856,0.6883,0.6807,-0.48%
"Oct 13, 2019",0.6856,0.6776,0.6858,0.6721,0.99%
"Oct 06, 2019",0.6789,0.677,0.6812,0.6709,0.30%
"Sep 29, 2019",0.6769,0.6766,0.6776,0.6669,0.06%
"Sep 22, 2019",0.6765,0.6762,0.6805,0.6736,-0.06%
"Sep 15, 2019",0.6769,0.6873,0.6885,0.6758,-1.58%
"Sep 08, 2019",0.6878,0.6836,0.6895,0.6835,0.45%
"Sep 01, 2019",0.6847,0.6719,0.6862,0.6687,1.63%
"Aug 25, 2019",0.6737,0.6734,0.6789,0.6689,-0.28%
"Aug 18, 2019",0.6756,0.6784,0.6802,0.6736,-0.37%
"Aug 11, 2019",0.6781,0.6789,0.6819,0.6734,-0.10%
"Aug 04, 2019",0.6788,0.6793,0.6823,0.6676,-0.18%
"Jul 28, 2019",0.68,0.6917,0.6918,0.6762,-1.59%
"Jul 21, 2019",0.691,0.7041,0.7059,0.6901,-1.89%
"Jul 14, 2019",0.7043,0.7002,0.7083,0.6994,0.36%
"Jul 07, 2019",0.7018,0.6978,0.7026,0.6908,0.56%
"Jun 30, 2019",0.6979,0.7024,0.7048,0.6954,-0.58%
"Jun 23, 2019",0.702,0.6927,0.7024,0.6922,1.39%
"Jun 16, 2019",0.6924,0.6863,0.6939,0.683,0.74%
"Jun 09, 2019",0.6873,0.6998,0.7023,0.6859,-1.80%
"Jun 02, 2019",0.6999,0.6934,0.7023,0.6921,0.86%
"May 26, 2019",0.6939,0.693,0.6945,0.6897,0.22%
"May 19, 2019",0.6924,0.6927,0.6939,0.6863,0.80%
"May 12, 2019",0.6869,0.6992,0.7003,0.6863,-1.89%
"May 05, 2019",0.7001,0.698,0.7049,0.6961,-0.33%
"Apr 28, 2019",0.7024,0.7034,0.707,0.6983,-0.23%
"Apr 21, 2019",0.704,0.7141,0.7159,0.6986,-1.58%
"Apr 14, 2019",0.7153,0.717,0.7206,0.7134,-0.28%
"Apr 07, 2019",0.7173,0.7094,0.7194,0.7087,0.94%
"Mar 31, 2019",0.7106,0.7113,0.7133,0.705,0.13%
"Mar 24, 2019",0.7097,0.7078,0.7149,0.7065,0.18%
"Mar 17, 2019",0.7084,0.7081,0.7168,0.7056,-0.07%
"Mar 10, 2019",0.7089,0.7036,0.71,0.7026,0.60%
"Mar 03, 2019",0.7047,0.7081,0.712,0.7003,-0.51%
"Feb 24, 2019",0.7083,0.7127,0.72,0.7069,-0.62%
"Feb 17, 2019",0.7127,0.713,0.7208,0.7068,-0.18%
"Feb 10, 2019",0.714,0.7086,0.7149,0.7052,0.71%
"Feb 03, 2019",0.709,0.7245,0.7267,0.706,-2.22%
"Jan 27, 2019",0.7251,0.7187,0.7298,0.7138,0.95%
"Jan 20, 2019",0.7183,0.7164,0.7186,0.7074,0.21%
"Jan 13, 2019",0.7168,0.7202,0.7226,0.7145,-0.67%
"Jan 06, 2019",0.7216,0.7107,0.7236,0.7107,1.45%
"Dec 30, 2018",0.7113,0.7043,0.7125,0.6744,0.98%
"Dec 23, 2018",0.7044,0.7038,0.7079,0.7016,0.14%
"Dec 16, 2018",0.7034,0.7179,0.7205,0.703,-1.99%
"Dec 09, 2018",0.7177,0.7192,0.7248,0.7149,-0.32%
"Dec 02, 2018",0.72,0.7368,0.7394,0.7191,-1.61%
"Nov 25, 2018",0.7318,0.7231,0.7347,0.7198,1.12%
"Nov 18, 2018",0.7237,0.7326,0.7329,0.7202,-1.36%
"Nov 11, 2018",0.7337,0.7224,0.7339,0.7164,1.55%
"Nov 04, 2018",0.7225,0.7193,0.7303,0.7179,0.36%
"Oct 28, 2018",0.7199,0.7088,0.726,0.705,1.45%
"Oct 21, 2018",0.7096,0.7111,0.7128,0.702,-0.35%
"Oct 14, 2018",0.7121,0.7111,0.716,0.7088,0.03%
"Oct 07, 2018",0.7119,0.7053,0.7141,0.7041,0.95%
"Sep 30, 2018",0.7052,0.723,0.7238,0.704,-2.46%
"Sep 23, 2018",0.723,0.7272,0.7317,0.7201,-0.84%
"Sep 16, 2018",0.7291,0.7151,0.7307,0.7141,1.93%
"Sep 09, 2018",0.7153,0.7116,0.7231,0.7086,0.65%
"Sep 02, 2018",0.7107,0.7194,0.7236,0.7097,-1.17%
"Aug 26, 2018",0.7191,0.7317,0.7363,0.7175,-1.83%
"Aug 19, 2018",0.7325,0.7306,0.7382,0.7236,0.18%
"Aug 12, 2018",0.7312,0.729,0.7321,0.7202,0.14%
"Aug 05, 2018",0.7302,0.7398,0.7454,0.7279,-1.32%
"Jul 29, 2018",0.74,0.7389,0.7441,0.7346,-0.01%
"Jul 22, 2018",0.7401,0.7403,0.7466,0.7359,-0.30%
"Jul 15, 2018",0.7423,0.7409,0.7444,0.7319,-0.01%
"Jul 08, 2018",0.7424,0.7425,0.7485,0.7358,-0.12%
"Jul 01, 2018",0.7433,0.7389,0.7447,0.731,0.38%
"Jun 24, 2018",0.7405,0.7443,0.7446,0.7326,-0.48%
"Jun 17, 2018",0.7441,0.7457,0.7459,0.7345,-0.04%
